yourlist:M20191031E5A08BB0B2D1C45B0C7BC3B55FD265564F2024Z	Entry
10841	O95954
10916	Q9UNF1
11019	O43766
11041	O43505
1120	Q9Y259
11232	Q9UHN1
11253	Q9UKM7
113189	Q8NCH0
116519	Q6Q788
1175	P53680
1188	P51801
1200	O14773
1201	Q13286
1244	Q92887
131118	Q96DA6
132158	Q8IVS8
1356	P00450
1373	P31327
1374	P50416
1375	Q92523
1384	P43155
146059	Q8IWY9
148738	Q6ZVN8
148789	Q8NCR0
1491	P32929
1497	O60931
153201	Q495M3
1586	P05093
1593	Q02318
1605	Q14118
1621	P09172
1629	P11182
1644	P20711
1716	Q16854
1718	Q15392
1719	P00374
1738	P09622
175	P20933
1763	P51530
178	P35573
18	P80404
1806	Q12882
1807	Q14117
1822	P54259
1893	Q16610
19	O95477
2027	P13929
203859	Q75V66
2108	P13804
2109	P38117
2110	Q16134
215	P33897
2203	P09467
2218	O75072
2235	P22830
226	P04075
2271	P07954
22845	Q9UPQ8
23175	Q14693
23417	O95822
23474	O95571
2348	P15328
23556	O95427
2395	Q16595
246243	O60930
249	P05186
2517	P04066
2538	P35575
2542	O43826
2584	P51570
2593	Q14353
25974	Q9Y4U1
2623	P15976
2628	P50440
2629	P04062
2632	Q04446
2639	Q92947
2643	P30793
2645	P35557
26503	Q9NRA2
2678	P19440
270	P23109
27034	Q9UKU7
2710	P32189
2717	P06280
2720	P16278
27232	Q14749
27249	Q9H3L0
2746	P00367
2752	P15104
2767	P29992
285362	Q8NBK3
291	P12235
2937	P48637
29954	Q9UKY4
2998	P54840
3028	Q99714
3030	P40939
3033	Q16836
3077	Q30201
3081	Q93099
3145	P08397
3155	P35914
3242	P32754
3251	P00492
3295	P51659
338	P04114
340024	Q695T7
3425	P35475
3479	P05019
348	P02649
353	P07741
36	P45954
3712	P26440
3758	P48048
38	P24752
383	P05089
3852	P13647
3930	Q14739
3931	P04180
3939	P00338
3945	P07195
3988	P38571
3990	P11150
4000	P02545
4125	O00754
4126	O00462
4143	Q00266
427	Q13510
4329	Q02252
435	P04424
4351	P34949
4524	P42898
4547	P55157
4548	Q99707
4552	Q9UBK8
4598	Q03426
4620	Q9UKX2
4668	P17050
472	Q13315
4864	O15118
4942	P04181
4952	Q01968
4976	O60313
50484	Q7LG56
5053	P00439
50814	Q15738
5092	P61457
51099	Q8WTS1
51128	Q9Y6B6
51604	Q969N2
5213	P08237
5236	P36871
5255	P46020
5256	P46019
5257	Q93100
5261	P15735
5265	P01009
5277	P37287
538	Q04656
5428	P54098
54344	Q9P2X0
54658	P22309
54716	Q9NP91
5476	P10619
54840	Q7Z2E3
549	Q13825
54982	Q9NWW5
551	P01185
55157	Q6PI48
55163	Q9NVS9
55343	Q96A29
5538	P50897
55624	Q8WZA1
55630	Q6P5W5
56172	Q9HCJ1
5625	O43272
5631	P60891
5660	P07602
56652	Q96RR1
56922	Q96RQ3
56983	Q8NBL1
57817	P81172
5836	P06737
5837	P11217
5860	P09417
593	P12694
594	P21953
5979	P07949
6125	P46777
6135	P62913
6165	P18077
617	Q9Y276
6201	P62081
6204	P46783
6218	P08708
6223	P39019
6229	P62847
6231	P62854
6309	O75845
6342	P22307
64087	Q9HCC0
6442	Q16586
6445	Q13326
64788	Q96S06
6505	P43005
65080	Q9H9J2
6513	P11166
6514	P11168
6523	P13866
6557	Q13621
6559	P55017
6576	P53007
6697	P35270
6718	P51857
6833	Q09428
686	P43251
6901	Q16635
6999	P48775
7018	P02787
7036	Q9UP52
7054	P07101
7084	O00142
7156	Q13472
7274	P49638
728294	Q8N465
7369	P07911
7389	P06132
7390	P10746
7809	Q8WZ55
788	O43772
79147	Q9H9S5
79152	Q7L5A8
79158	Q3T906
79783	Q9HAC7
79944	Q9H9P8
80270	Q9H2F3
8029	O60494
80331	Q9H3Z4
80704	Q9BZV2
81693	Q9BXJ7
825	P20807
8291	O75923
8398	O60733
84197	Q9H5K3
846	P41180
84892	Q8NAT1
8659	P30038
875	P0DN79
875	P35520
8803	Q9P2R7
8813	O60762
8818	O94777
8869	Q9UNP4
8942	Q16719
9056	Q9UM01
93183	Q9H3S5
9382	Q8WTW3
