Entry	Entry name	EC number
P30793	GCH1_HUMAN	3.5.4.16
P35557	HXK4_HUMAN	2.7.1.1
Q9NRA2	S17A5_HUMAN	
P19440	GGT1_HUMAN	3.4.19.13; 2.3.2.2; 3.4.19.14
P23109	AMPD1_HUMAN	3.5.4.6
Q9UKU7	ACAD8_HUMAN	1.3.8.-
P32189	GLPK_HUMAN	2.7.1.30
P06280	AGAL_HUMAN	3.2.1.22
P16278	BGAL_HUMAN	3.2.1.23
Q14749	GNMT_HUMAN	2.1.1.20
Q9H3L0	MMAD_HUMAN	
P00367	DHE3_HUMAN	1.4.1.3
P15104	GLNA_HUMAN	6.3.1.2; 2.3.1.225
P29992	GNA11_HUMAN	
Q8NBK3	SUMF1_HUMAN	1.8.3.7
P12235	ADT1_HUMAN	
P48637	GSHB_HUMAN	6.3.2.3
Q9UKY4	POMT2_HUMAN	2.4.1.109
P54840	GYS2_HUMAN	2.4.1.11
Q99714	HCD2_HUMAN	1.1.1.35; 1.1.1.51; 1.1.1.178
P40939	ECHA_HUMAN	2.3.1.-; 4.2.1.17; 1.1.1.211
Q16836	HCDH_HUMAN	1.1.1.35
Q30201	HFE_HUMAN	
Q93099	HGD_HUMAN	1.13.11.5
P08397	HEM3_HUMAN	2.5.1.61
P35914	HMGCL_HUMAN	4.1.3.4
P32754	HPPD_HUMAN	1.13.11.27
P00492	HPRT_HUMAN	2.4.2.8
P51659	DHB4_HUMAN	1.1.1.n12; 4.2.1.107; 4.2.1.119
P04114	APOB_HUMAN	
Q695T7	S6A19_HUMAN	
P35475	IDUA_HUMAN	3.2.1.76
P05019	IGF1_HUMAN	
P02649	APOE_HUMAN	
P07741	APT_HUMAN	2.4.2.7
P45954	ACDSB_HUMAN	1.3.8.5
P26440	IVD_HUMAN	1.3.8.4
P48048	KCNJ1_HUMAN	
P24752	THIL_HUMAN	2.3.1.9
P05089	ARGI1_HUMAN	3.5.3.1
P13647	K2C5_HUMAN	
Q14739	LBR_HUMAN	1.3.1.70
P04180	LCAT_HUMAN	2.3.1.43
P00338	LDHA_HUMAN	1.1.1.27
P07195	LDHB_HUMAN	1.1.1.27
P38571	LICH_HUMAN	3.1.1.13
P11150	LIPC_HUMAN	3.1.1.3
P02545	LMNA_HUMAN	
O00754	MA2B1_HUMAN	3.2.1.24
O00462	MANBA_HUMAN	3.2.1.25
Q00266	METK1_HUMAN	2.5.1.6
Q13510	ASAH1_HUMAN	3.5.1.23; 3.5.1.-
Q02252	MMSA_HUMAN	1.2.1.18; 1.2.1.27
P04424	ARLY_HUMAN	4.3.2.1
P34949	MPI_HUMAN	5.3.1.8
P42898	MTHR_HUMAN	1.5.1.20
P55157	MTP_HUMAN	
Q99707	METH_HUMAN	2.1.1.13
Q9UBK8	MTRR_HUMAN	1.16.1.8
Q03426	KIME_HUMAN	2.7.1.36
Q9UKX2	MYH2_HUMAN	
P17050	NAGAB_HUMAN	3.2.1.49
Q13315	ATM_HUMAN	2.7.11.1
O15118	NPC1_HUMAN	
P04181	OAT_HUMAN	2.6.1.13
Q01968	OCRL_HUMAN	3.1.3.36; 3.1.3.56; 3.1.3.86
O60313	OPA1_HUMAN	3.6.5.5
Q7LG56	RIR2B_HUMAN	1.17.4.1
P00439	PH4H_HUMAN	1.14.16.1
Q15738	NSDHL_HUMAN	1.1.1.170
P61457	PHS_HUMAN	4.2.1.96
Q8WTS1	ABHD5_HUMAN	2.3.1.51
Q9Y6B6	SAR1B_HUMAN	
Q969N2	PIGT_HUMAN	
P08237	PFKAM_HUMAN	2.7.1.11
P36871	PGM1_HUMAN	5.4.2.2
P46020	KPB1_HUMAN	
P46019	KPB2_HUMAN	
Q93100	KPBB_HUMAN	
P15735	PHKG2_HUMAN	2.7.11.19
P01009	A1AT_HUMAN	
P37287	PIGA_HUMAN	2.4.1.198
Q04656	ATP7A_HUMAN	7.2.2.8
P54098	DPOG1_HUMAN	2.7.7.7
Q9P2X0	DPM3_HUMAN	
P22309	UD11_HUMAN	2.4.1.17
Q9NP91	S6A20_HUMAN	
P10619	PPGB_HUMAN	3.4.16.5
Q7Z2E3	APTX_HUMAN	3.1.11.7; 3.1.12.2
Q13825	AUHM_HUMAN	4.2.1.18; 4.2.1.56
Q9NWW5	CLN6_HUMAN	
P01185	NEU2_HUMAN	
Q6PI48	SYDM_HUMAN	6.1.1.12
Q9NVS9	PNPO_HUMAN	1.4.3.5
Q96A29	FUCT1_HUMAN	
P50897	PPT1_HUMAN	3.1.2.22
Q8WZA1	PMGT1_HUMAN	2.4.1.-
Q6P5W5	S39A4_HUMAN	
Q9HCJ1	ANKH_HUMAN	
O43272	PROD_HUMAN	1.5.5.2
P60891	PRPS1_HUMAN	2.7.6.1
P07602	SAP_HUMAN	
Q96RR1	PEO1_HUMAN	3.6.4.12
Q96RQ3	MCCA_HUMAN	6.4.1.4
Q8NBL1	PGLT1_HUMAN	2.4.1.-; 2.4.2.26
P81172	HEPC_HUMAN	
P06737	PYGL_HUMAN	2.4.1.1
P11217	PYGM_HUMAN	2.4.1.1
P09417	DHPR_HUMAN	1.5.1.34
P12694	ODBA_HUMAN	1.2.4.4
P21953	ODBB_HUMAN	1.2.4.4
P07949	RET_HUMAN	2.7.10.1
P46777	RL5_HUMAN	
P62913	RL11_HUMAN	
P18077	RL35A_HUMAN	
Q9Y276	BCS1_HUMAN	
P62081	RS7_HUMAN	
P46783	RS10_HUMAN	
P08708	RS17_HUMAN	
P39019	RS19_HUMAN	
P62847	RS24_HUMAN	
P62854	RS26_HUMAN	
O75845	SC5D_HUMAN	1.14.19.20
P22307	NLTP_HUMAN	2.3.1.176
Q9HCC0	MCCB_HUMAN	6.4.1.4
Q16586	SGCA_HUMAN	
Q13326	SGCG_HUMAN	
Q96S06	LMF1_HUMAN	
P43005	EAA3_HUMAN	
Q9H9J2	RM44_HUMAN	3.1.26.-
P11166	GTR1_HUMAN	
P11168	GTR2_HUMAN	
P13866	SC5A1_HUMAN	
Q13621	S12A1_HUMAN	
P55017	S12A3_HUMAN	
P53007	TXTP_HUMAN	
P35270	SPRE_HUMAN	1.1.1.153
P51857	AK1D1_HUMAN	1.3.1.3
Q09428	ABCC8_HUMAN	
P43251	BTD_HUMAN	3.5.1.12
Q16635	TAZ_HUMAN	
P48775	T23O_HUMAN	1.13.11.11
P02787	TRFE_HUMAN	
Q9UP52	TFR2_HUMAN	
P07101	TY3H_HUMAN	1.14.16.2
O00142	KITM_HUMAN	2.7.1.21
Q13472	TOP3A_HUMAN	5.6.2.1
P49638	TTPA_HUMAN	
Q8N465	D2HDH_HUMAN	1.1.99.-
P07911	UROM_HUMAN	
P06132	DCUP_HUMAN	4.1.1.37
P10746	HEM4_HUMAN	4.2.1.75
Q8WZ55	BSND_HUMAN	
O43772	MCAT_HUMAN	
Q9H9S5	FKRP_HUMAN	2.4.2.-
Q7L5A8	FA2H_HUMAN	1.14.18.-
Q3T906	GNPTA_HUMAN	2.7.8.17
Q9HAC7	SUCHY_HUMAN	2.8.3.13
Q9H9P8	L2HDH_HUMAN	1.1.99.2
Q9H2F3	3BHS7_HUMAN	1.1.1.-; 1.1.1.181
O60494	CUBN_HUMAN	
Q9H3Z4	DNJC5_HUMAN	
Q9BZV2	S19A3_HUMAN	
Q9BXJ7	AMNLS_HUMAN	
P20807	CAN3_HUMAN	3.4.22.54
O75923	DYSF_HUMAN	
O60733	PLPL9_HUMAN	3.1.1.4
Q9H5K3	SG196_HUMAN	2.7.1.183
P41180	CASR_HUMAN	
Q8NAT1	PMGT2_HUMAN	2.4.1.312
P30038	AL4A1_HUMAN	1.2.1.88
P0DN79	CBSL_HUMAN	4.2.1.22
P35520	CBS_HUMAN	4.2.1.22
Q9P2R7	SUCB1_HUMAN	6.2.1.5
O60762	DPM1_HUMAN	2.4.1.83
O94777	DPM2_HUMAN	
Q9UNP4	SIAT9_HUMAN	2.4.99.9
Q16719	KYNU_HUMAN	3.7.1.3
Q9UM01	YLAT1_HUMAN	
Q9H3S5	PIGM_HUMAN	2.4.1.-
Q8WTW3	COG1_HUMAN	
