Entry	Entry name	EC number
O95954	FTCD_HUMAN	2.1.2.5; 4.3.1.4
Q9UNF1	MAGD2_HUMAN	
O43766	LIAS_HUMAN	2.8.1.8
O43505	B4GA1_HUMAN	2.4.1.-
Q9Y259	CHKB_HUMAN	2.7.1.32; 2.7.1.82
Q9UHN1	DPOG2_HUMAN	
Q9UKM7	MA1B1_HUMAN	3.2.1.113
Q8NCH0	CHSTE_HUMAN	2.8.2.35
Q6Q788	APOA5_HUMAN	
P53680	AP2S1_HUMAN	
P51801	CLCKB_HUMAN	
O14773	TPP1_HUMAN	3.4.14.9
Q13286	CLN3_HUMAN	
Q92887	MRP2_HUMAN	7.6.2.2
Q96DA6	TIM14_HUMAN	
Q8IVS8	GLCTK_HUMAN	2.7.1.31
P00450	CERU_HUMAN	1.16.3.1
P31327	CPSM_HUMAN	6.3.4.16
P50416	CPT1A_HUMAN	2.3.1.21
Q92523	CPT1B_HUMAN	2.3.1.21
P43155	CACP_HUMAN	2.3.1.7
Q8IWY9	CDAN1_HUMAN	
Q6ZVN8	RGMC_HUMAN	
Q8NCR0	B3GL2_HUMAN	2.4.1.313
P32929	CGL_HUMAN	4.4.1.1
O60931	CTNS_HUMAN	
Q495M3	S36A2_HUMAN	
P05093	CP17A_HUMAN	1.14.14.19; 1.14.14.32
Q02318	CP27A_HUMAN	1.14.15.15
Q14118	DAG1_HUMAN	
P09172	DOPO_HUMAN	1.14.17.1
P11182	ODB2_HUMAN	2.3.1.168
P20711	DDC_HUMAN	4.1.1.28
Q16854	DGUOK_HUMAN	2.7.1.113
Q15392	DHC24_HUMAN	1.3.1.72
P00374	DYR_HUMAN	1.5.1.3
P09622	DLDH_HUMAN	1.8.1.4
P20933	ASPG_HUMAN	3.5.1.26
P51530	DNA2_HUMAN	3.1.-.-; 3.6.4.12
P35573	GDE_HUMAN	2.4.1.25; 3.2.1.33
P80404	GABT_HUMAN	2.6.1.19; 2.6.1.22
Q12882	DPYD_HUMAN	1.3.1.2
Q14117	DPYS_HUMAN	3.5.2.2
P54259	ATN1_HUMAN	
Q16610	ECM1_HUMAN	
O95477	ABCA1_HUMAN	7.6.2.1
P13929	ENOB_HUMAN	4.2.1.11
Q75V66	ANO5_HUMAN	
P13804	ETFA_HUMAN	
P38117	ETFB_HUMAN	
Q16134	ETFD_HUMAN	1.5.5.1
P33897	ABCD1_HUMAN	7.6.2.4
P09467	F16P1_HUMAN	3.1.3.11
O75072	FKTN_HUMAN	2.4.2.-
P22830	HEMH_HUMAN	4.99.1.1
P04075	ALDOA_HUMAN	4.1.2.13
P07954	FUMH_HUMAN	4.2.1.2
Q9UPQ8	DOLK_HUMAN	2.7.1.108
Q14693	LPIN1_HUMAN	3.1.3.4
O95822	DCMC_HUMAN	4.1.1.9
O95571	ETHE1_HUMAN	1.13.11.18
P15328	FOLR1_HUMAN	
O95427	PIGN_HUMAN	2.-.-.-
Q16595	FRDA_HUMAN	1.16.3.1
O60930	RNH1_HUMAN	3.1.26.4
P05186	PPBT_HUMAN	3.1.3.1
P04066	FUCO_HUMAN	3.2.1.51
P35575	G6PC_HUMAN	3.1.3.9
O43826	G6PT1_HUMAN	
P51570	GALK1_HUMAN	2.7.1.6
Q14353	GAMT_HUMAN	2.1.1.2
Q9Y4U1	MMAC_HUMAN	1.16.1.-
P15976	GATA1_HUMAN	
P50440	GATM_HUMAN	2.1.4.1
P04062	GLCM_HUMAN	3.2.1.45; 2.4.1.-; 3.2.1.104
Q04446	GLGB_HUMAN	2.4.1.18
Q92947	GCDH_HUMAN	1.3.8.6
