row_id,datatype_value
193,B0YJ76_HUMAN
194,B0ZBD0_HUMAN
195,B2R659_HUMAN
196,B2R761_HUMAN
197,B2RAQ8_HUMAN
198,B2RCZ7_HUMAN
199,B2RDU6_HUMAN
200,B2RUU2_HUMAN
201,B2ZZ86_HUMAN
202,B3GL2_HUMAN
203,B3GLT_HUMAN
204,B3GT6_HUMAN
205,B3KMT1_HUMAN
206,B3KP64_HUMAN
207,B3KQH0_HUMAN
208,B3KSP2_HUMAN
209,B3KSR6_HUMAN
210,B3KTT6_HUMAN
211,B3KUD4_HUMAN
212,B3KW64_HUMAN
213,B4DDN8_HUMAN
214,B4DDQ8_HUMAN
215,B4DEQ0_HUMAN
216,B4DFF3_HUMAN
217,B4DH54_HUMAN
218,B4DII4_HUMAN
219,B4DIW4_HUMAN
220,B4DJ97_HUMAN
221,B4DJF0_HUMAN
222,B4DM58_HUMAN
223,B4DMY6_HUMAN
224,B4DP62_HUMAN
225,B4DPF4_HUMAN
226,B4DRW0_HUMAN
227,B4DSJ0_HUMAN
228,B4DUH2_HUMAN
229,B4DV50_HUMAN
230,B4DW50_HUMAN
231,B4DYI6_HUMAN
232,B4E0L7_HUMAN
233,B4E0Z4_HUMAN
234,B4E2N3_HUMAN
235,B4E2W4_HUMAN
236,B4E324_HUMAN
237,B4E3K7_HUMAN
238,B4GA1_HUMAN
239,B4GT7_HUMAN
240,B5MCV2_HUMAN
241,B5MDC5_HUMAN
242,B7XCW9_HUMAN
243,B7Z1T3_HUMAN
244,B7Z2D6_HUMAN
245,B7Z301_HUMAN
246,B7Z6C2_HUMAN
247,B7Z6Q5_HUMAN
248,B7Z6S9_HUMAN
249,B7Z765_HUMAN
250,B7Z7F2_HUMAN
251,B7Z7Q4_HUMAN
252,B7Z7X3_HUMAN
253,B7Z9T5_HUMAN
254,B7ZB02_HUMAN
255,B7ZB80_HUMAN
256,BCS1_HUMAN
257,BGAL_HUMAN
258,BSND_HUMAN
259,BTD_HUMAN
260,C11B2_HUMAN
261,C1R_HUMAN
262,C9J7S5_HUMAN
